PT [GEV],(1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP [GEV**-2]
0.11,918.3468327258846
0.13,854.9088473395483
0.15000000000000002,792.173333234434
0.16999999999999998,731.7225659372209
0.19,674.5152650997917
0.225,583.4386637191342
0.275,473.6078630831114
0.32499999999999996,385.21193922105505
0.375,314.4780718336615
0.42500000000000004,257.8262560648047
0.475,212.2800715570811
0.525,175.4775784120622
0.575,145.58360095640475
0.625,121.17495032161568
0.675,101.1502229126322
0.725,84.64974212275774
0.775,70.99965738916435
0.825,59.66808014942988
0.875,50.231936253753744
0.925,42.352324361250865
0.975,35.75662870893005
1.05,27.79866128609114
1.15,19.939510205567476
1.25,14.34822929981293
1.35,10.350704689401766
1.45,7.482639924411626
1.55,5.418623257972604
1.65,3.9296385657845905
1.75,2.852898755758305
1.85,2.073312926501558
1.95,1.5076495770099547
2.05,1.096946202916251
2.1500000000000004,0.7984550072120211
2.25,0.5812934579788758
2.3499999999999996,0.42318311572013523
2.45,0.3080317979555288
