# 20260615_161027
# primespec:	data/AuAu200_cc_(0,5)plus15/primaryspec/spec_20260615_155748_080/spectr.txt
# qmax:	4
# ma:	0.742857
# mb:	0.14
# mc:	0.14
# [=>] pabc:	0.344034
# [=>] Eabc:	0.371428
# B:	1
# Q:	1
# epsrel:	1e-05
# epsabs:	0
# iter:	100000
pT,decayspec
0,422.736
0.0204082,424.641
0.0408163,429.735
0.0612245,434.457
0.0816327,441.364
0.102041,450.585
0.122449,461.481
0.142857,471.155
0.163265,481.529
0.183673,492.275
0.204082,499.757
0.22449,504.269
0.244898,512.717
0.265306,525.328
0.285714,530.525
0.306122,514.641
0.326531,475.953
0.346939,404.945
0.367347,316.05
0.387755,242.044
0.408163,186.264
0.428571,142.392
0.44898,112.264
0.469388,92.4305
0.489796,77.3115
0.510204,65.2896
0.530612,55.9765
0.55102,47.4219
0.571429,40.2418
0.591837,34.6463
0.612245,29.425
0.632653,25.335
0.653061,22.1692
0.673469,19.0675
0.693878,16.7298
0.714286,14.835
0.734694,12.9536
0.755102,11.5384
0.77551,10.2672
0.795918,8.97897
0.816327,8.00617
0.836735,7.09925
0.857143,6.23521
0.877551,5.6043
0.897959,4.99334
0.918367,4.4357
0.938776,4.04512
0.959184,3.64749
0.979592,3.31398
1,3.06613
