# 20250803_185433
# primespec:	data/examplescenario/primaryspec/spec_20250803_184748_125/spectr.txt
# qmax:	4
# ma:	1
# mb:	0.14
# mc:	0.14
# [=>] pabc:	0.48
# [=>] Eabc:	0.5
# B:	1
# Q:	1
# epsrel:	1e-05
# epsabs:	0
# iter:	100000
pT,decayspec
0,927.676
0.0204082,929.273
0.0408163,932.934
0.0612245,939.767
0.0816327,949.61
0.102041,962.147
0.122449,976.939
0.142857,994.189
0.163265,1013.74
0.183673,1034.56
0.204082,1057.76
0.22449,1081.77
0.244898,1106.81
0.265306,1132.77
0.285714,1158.35
0.306122,1184.27
0.326531,1213.79
0.346939,1243.36
0.367347,1273.8
0.387755,1303.88
0.408163,1349.34
0.428571,1396.39
0.44898,1406.14
0.469388,1289.2
0.489796,1048.16
0.510204,771.545
0.530612,561.506
0.55102,430.148
0.571429,345.258
0.591837,288.043
0.612245,241.044
0.632653,203.327
0.653061,173.397
0.673469,148.591
0.693878,128.76
0.714286,111.509
0.734694,97.6101
0.755102,85.0838
0.77551,75.1679
0.795918,66.163
0.816327,58.8799
0.836735,52.1691
0.857143,46.1798
0.877551,41.1607
0.897959,36.4331
0.918367,32.7907
0.938776,29.3018
0.959184,26.4451
0.979592,23.7841
1,21.587
