# 20251208_110808
# primespec:	data/XeXe544_cc_(0,5)/primaryspec/spec_20251208_105629_036/spectr.txt
# qmax:	4
# ma:	0.491429
# mb:	0.14
# mc:	0.14
# [=>] pabc:	0.20193
# [=>] Eabc:	0.245715
# B:	1
# Q:	1
# epsrel:	1e-05
# epsabs:	0
# iter:	100000
pT,decayspec
0,7171.29
0.0204082,7225.78
0.0408163,7348
0.0612245,7553.21
0.0816327,7862.7
0.102041,8300.31
0.122449,8912.65
0.142857,9889.93
0.163265,11134.4
0.183673,15460
0.204082,12075.2
0.22449,2949.46
0.244898,1168.94
0.265306,830.987
0.285714,499.442
0.306122,356.636
0.326531,259.186
0.346939,188.281
0.367347,142.289
0.387755,109.617
0.408163,86.5678
0.428571,68.4338
0.44898,53.0247
0.469388,44.052
0.489796,35.8946
0.510204,29.6094
0.530612,24.0884
0.55102,27.8746
0.571429,17.7347
0.591837,14.4173
0.612245,12.5935
0.632653,11.0066
0.653061,9.41203
0.673469,8.04253
0.693878,7.17065
0.714286,6.48419
0.734694,5.4957
0.755102,4.89278
0.77551,4.44681
0.795918,3.95357
0.816327,3.53739
0.836735,3.22144
0.857143,3.00463
0.877551,2.58197
0.897959,2.3779
0.918367,2.24909
0.938776,2.00662
0.959184,1.84978
0.979592,1.71887
1,1.60312
