# 20250602_134206
alpha,Re@phiIm@phi,Re@DphiIm@Dphi
0.1965460.1,0,0,0
0.1981180.1,0,0,0
0.1996910.1,0,0,0
0.2012630.1,0,0,0
0.2028360.1,0,0,0
0.2044080.1,0,0,0
0.205980.1,0,0,0
0.2075530.1,0,0,0
0.2091250.1,0,0,0
0.2106970.1,0,0,0
0.212270.1,0,0,0
0.2138420.1,0,0,0
0.2154150.1,0,0,0
0.2169870.1,0,0,0
0.2185590.1,0,0,0
0.2201320.1,0,0,0
0.2217040.1,0,0,0
0.2232760.1,0,0,0
0.2248490.1,0,0,0
0.2264210.1,0,0,0
0.2279930.1,0,0,0
0.2295660.1,0,0,0
0.2311380.1,0,0,0
0.2327110.1,0,0,0
0.2342830.1,0,0,0
0.2358550.1,0,0,0
0.2374280.1,0,0,0
0.2390.1,0,0,0
0.2405720.1,0,0,0
0.2421450.1,0,0,0
0.2437170.1,0,0,0
0.245290.1,0,0,0
0.2468620.1,0,0,0
0.2484340.1,0,0,0
0.2500070.1,0,0,0
0.2515790.1,0,0,0
0.2531510.1,0,0,0
0.2547240.1,0,0,0
0.2562960.1,0,0,0
0.2578680.1,0,0,0
0.2594410.1,0,0,0
0.2610130.1,0,0,0
0.2625860.1,0,0,0
0.2641580.1,0,0,0
0.265730.1,0,0,0
0.2673030.1,0,0,0
0.2688750.1,0,0,0
0.2704470.1,0,0,0
0.272020.1,0,0,0
0.2735920.1,0,0,0
0.2751650.1,0,0,0
0.2767370.1,0,0,0
0.2783090.1,0,0,0
0.2798820.1,0,0,0
0.2814540.1,0,0,0
0.2830260.1,0,0,0
0.2845990.1,0,0,0
0.2861710.1,0,0,0
0.2877430.1,0,0,0
0.2893160.1,0,0,0
0.2908880.1,0,0,0
0.2924610.1,0,0,0
0.2940330.1,0,0,0
0.2956050.1,0,0,0
0.2971780.1,0,0,0
0.298750.1,0,0,0
0.3003220.1,0,0,0
0.3018950.1,0,0,0
0.3034670.1,0,0,0
0.305040.1,0,0,0
0.3066120.1,0,0,0
0.3081840.1,0,0,0
0.3097570.1,0,0,0
0.3113290.1,0,0,0
0.3129010.1,0,0,0
0.3144740.1,0,0,0
0.3160460.1,0,0,0
0.3176180.1,0,0,0
0.3191910.1,0,0,0
0.3207630.1,0,0,0
0.3223360.1,0,0,0
0.3239080.1,0,0,0
0.325480.1,0,0,0
0.3270530.1,0,0,0
0.3286250.1,0,0,0
0.3301970.1,0,0,0
0.331770.1,0,0,0
0.3333420.1,0,0,0
0.3349150.1,0,0,0
0.3364870.1,0,0,0
0.3380590.1,0,0,0
0.3396320.1,0,0,0
0.3412040.1,0,0,0
0.3427760.1,0,0,0
0.3443490.1,0,0,0
0.3459210.1,0,0,0
0.3474930.1,0,0,0
0.3490660.1,0,0,0
0.3506380.1,0,0,0
0.3522110.1,0,0,0
0.3537830.1,0,0,0
0.3553550.1,0,0,0
0.3569280.1,0,0,0
0.35850.1,0,0,0
0.3600720.1,0,0,0
0.3616450.1,0,0,0
0.3632170.1,0,0,0
0.364790.1,0,0,0
0.3663620.1,0,0,0
0.3679340.1,0,0,0
0.3695070.1,0,0,0
0.3710790.1,0,0,0
0.3726510.1,0,0,0
0.3742240.1,0,0,0
0.3757960.1,0,0,0
0.3773680.1,0,0,0
0.3789410.1,0,0,0
0.3805130.1,0,0,0
0.3820860.1,0,0,0
0.3836580.1,0,0,0
0.385230.1,0,0,0
0.3868030.1,0,0,0
0.3883750.1,0,0,0
0.3899470.1,0,0,0
0.391520.1,0,0,0
0.3930920.1,0,0,0
0.3946650.1,0,0,0
0.3962370.1,0,0,0
0.3978090.1,0,0,0
0.3993820.1,0,0,0
0.4009540.1,0,0,0
0.4025260.1,0,0,0
0.4040990.1,0,0,0
0.4056710.1,0,0,0
0.4072430.1,0,0,0
0.4088160.1,0,0,0
0.4103880.1,0,0,0
0.4119610.1,0,0,0
0.4135330.1,0,0,0
0.4151050.1,0,0,0
0.4166780.1,0,0,0
0.418250.1,0,0,0
0.4198220.1,0,0,0
0.4213950.1,0,0,0
0.4229670.1,0,0,0
0.424540.1,0,0,0
0.4261120.1,0,0,0
0.4276840.1,0,0,0
0.4292570.1,0,0,0
0.4308290.1,0,0,0
0.4324010.1,0,0,0
0.4339740.1,0,0,0
0.4355460.1,0,0,0
0.4371180.1,0,0,0
0.4386910.1,0,0,0
0.4402630.1,0,0,0
0.4418360.1,0,0,0
0.4434080.1,0,0,0
0.444980.1,0,0,0
0.4465530.1,0,0,0
0.4481250.1,0,0,0
0.4496970.1,0,0,0
0.451270.1,0,0,0
0.4528420.1,0,0,0
0.4544150.1,0,0,0
0.4559870.1,0,0,0
0.4575590.1,0,0,0
0.4591320.1,0,0,0
0.4607040.1,0,0,0
0.4622760.1,0,0,0
0.4638490.1,0,0,0
0.4654210.1,0,0,0
0.4669940.1,0,0,0
0.4685660.1,0,0,0
0.4701380.1,0,0,0
0.4717110.1,0,0,0
0.4732830.1,0,0,0
0.4748550.1,0,0,0
0.4764280.1,0,0,0
0.4780.1,0,0,0
0.4795720.1,0,0,0
0.4811450.1,0,0,0
0.4827170.1,0,0,0
0.484290.1,0,0,0
0.4858620.1,0,0,0
0.4874340.1,0,0,0
0.4890070.1,0,0,0
0.4905790.1,0,0,0
0.4921510.1,0,0,0
0.4937240.1,0,0,0
0.4952960.1,0,0,0
0.4968690.1,0,0,0
0.4984410.1,0,0,0
0.5000130.1,0,0,0
0.5015860.1,0,0,0
0.5031580.1,0,0,0
0.504730.1,0,0,0
0.5063030.1,0,0,0
0.5078750.1,0,0,0
0.5094470.1,0,0,0
0.511020.1,0,0,0
0.5125920.1,0,0,0
0.5141650.1,0,0,0
0.5157370.1,0,0,0
0.5173090.1,0,0,0
0.5188820.1,0,0,0
0.5204540.1,0,0,0
0.5220260.1,0,0,0
0.5235990.1,0,0,0
0.5251710.1,0,0,0
0.5267440.1,0,0,0
0.5283160.1,0,0,0
0.5298880.1,0,0,0
0.5314610.1,0,0,0
0.5330330.1,0,0,0
0.5346050.1,0,0,0
0.5361780.1,0,0,0
0.537750.1,0,0,0
0.5393220.1,0,0,0
0.5408950.1,0,0,0
0.5424670.1,0,0,0
0.544040.1,0,0,0
0.5456120.1,0,0,0
0.5471840.1,0,0,0
0.5487570.1,0,0,0
0.5503290.1,0,0,0
0.5519010.1,0,0,0
0.5534740.1,0,0,0
0.5550460.1,0,0,0
0.5566190.1,0,0,0
0.5581910.1,0,0,0
