alpha,tau,r,Dtau,Dr
0.,15.325350867004424,0.11077262282170842,-0.0012484424341892009,14.4105772666791
0.015372154638921392,15.32531478746432,0.3323111960873209,-0.0033285731981251843,14.41390002137382
0.03073579007006386,15.325253888188897,0.5538297562405278,-0.004383556948255318,14.423970892076657
0.04608276429947995,15.325187500106892,0.7753149746160524,-0.004019392598483376,14.440877882695654
0.06140489238418628,15.32513792316135,0.9967535426851927,-0.002235526136795806,14.4647024783964
0.07669398897629737,15.32512430666246,1.2181321801546996,0.0005726879043078774,14.495493072284697
0.09194194852485278,15.325156687052132,1.4394376431101061,0.0036389055084068275,14.533227621231715
0.1071408539050718,15.325231112510965,1.660656732216491,0.005932163785410835,14.577793387645452
0.12228309630158805,15.325326770066832,1.8817763009898762,0.006276482993816991,14.628977852383848
0.13736149135136033,15.325405004887052,2.1027832641527273,0.003479104775886634,14.686475534889855
0.15236937614442714,15.325410288720958,2.3236646060873465,-0.0035780153700221526,14.749901598320038
0.16730068315833152,15.325272207044891,2.544407389401313,-0.015874074635657525,14.818811857604635
0.1821499863639265,15.324908259487085,2.7649987636195617,-0.03423464177064431,14.89271856462262
0.19691252832615921,15.32422641542708,2.985425974018184,-0.05933909072925141,14.971105235808496
0.21158423100117263,15.323127395920357,3.2056763706155675,-0.09178118631974294,15.053425532041201
0.2261617079631133,15.32150568402466,3.4257374173371216,-0.1321231320461413,15.139102399822812
0.24064228172167493,15.319249591598696,3.6455967013705193,-0.18102464553430195,15.227493003969265
0.25502402528490303,15.316239629557849,3.865241942729129,-0.2392529824179197,15.31788953072313
0.2693058237981748,15.31234600653152,4.08466100404216,-0.3079235244854072,15.409419604657897
0.2834874388261851,15.307426448005783,4.303841900590962,-0.38796584934344414,15.501217002977436
0.2975696440635339,15.301320677354957,4.5227728106119045,-0.481854537563953,15.591821738404361
0.3115544530832696,15.293841450654359,4.741442085887394,-0.5902547629053342,15.680267923990566
0.3254448061692503,15.284792995379298,4.959838262647786,-0.7161915732106627,15.764612965718811
0.3392456251609161,15.273922602936997,5.177950072808224,-0.8626917486517257,15.842903884055108
0.35296325170014503,15.260953345589753,5.395766455565949,-1.0326537216910516,15.912629416483263
0.3666057325934713,15.245573745524137,5.613276569385111,-1.2260866046718963,15.972943136805291
0.3801830380122735,15.227431964246117,5.830469804397872,-1.4525780722340587,16.017602597561407
0.3937067273182314,15.206153115545375,6.047335795252401,-1.6966585295038679,16.05322299311399
0.4071917043197899,15.181271630092287,6.263864434440456,-2.0084181899201967,16.05292422150185
0.4206554323293236,15.152271435770368,6.480045886139358,-2.2864166882213794,16.066122911485877
0.43411875533626787,15.118560059086565,6.695870600605634,-2.774687159957878,15.966804591194752
0.44760645637577096,15.079456310821914,6.91132932916019,-2.946503459330464,16.019571318786976
0.4611479879139984,15.034173980324415,7.126413139807729,-3.7791457197554017,15.725786059893702
0.46587940127305844,15.0162679598446,7.200905133780027,-3.7581308293752644,15.77815009450107
0.47477841355011263,14.981801106157299,7.341113433536246,-4.174547665703753,15.636449353081208
0.4791838416031811,14.96274740964326,7.409735287387691,-4.4219319395762895,15.544279391831427
0.48853982151549513,14.921267135049062,7.555421961345767,-4.559838117655026,15.535636727732975
