PT [GEV],(1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP [GEV**-2]
0.11,903.5342012985354
0.13,843.3383872346411
0.15000000000000002,783.6555518190916
0.16999999999999998,725.8569373907416
0.19,670.7897558664117
0.225,582.3475662109174
0.275,474.4056338366846
0.32499999999999996,386.65393245213534
0.375,316.0173315985635
0.42500000000000004,259.2633489017155
0.475,213.56458794175694
0.525,176.6142635610237
0.575,146.59240432457403
0.625,122.07703921098556
0.675,101.96345314296143
0.725,85.38826141927171
0.775,71.67472217879842
0.825,60.287929321297895
0.875,50.80291729706451
0.925,42.879261154362865
0.975,36.24317058595869
1.05,28.229693065734534
1.15,20.30372407858186
1.25,14.652582409022662
1.35,10.602006359786781
1.45,7.687848926251788
1.55,5.584630262126037
1.65,4.062914241158926
1.75,2.9593077169999926
1.85,2.1579230128245594
1.95,1.5747345903790748
2.05,1.1500311323261416
2.1500000000000004,0.8404067643590403
2.25,0.614416742499624
2.3499999999999996,0.449314760979141
2.45,0.3286349392293912
