# 20251208_100500
# primespec:	data/PbPb276_cc_(0,5)/primaryspec/spec_20251208_095032_045/spectr.txt
# qmax:	4
# ma:	0.437924
# mb:	0.14
# mc:	0.14
# [=>] pabc:	0.168358
# [=>] Eabc:	0.218962
# B:	1
# Q:	1
# epsrel:	1e-05
# epsabs:	0
# iter:	100000
pT,decayspec
0,6122.74
0.0204082,6164.69
0.0408163,6295.36
0.0612245,6526.26
0.0816327,6868.49
0.102041,7373.37
0.122449,8096.57
0.142857,9843.68
0.163265,9247.53
0.183673,4540.09
0.204082,1585.95
0.22449,911.013
0.244898,607.401
0.265306,409.634
0.285714,286.273
0.306122,207.348
0.326531,153.617
0.346939,115.643
0.367347,88.8729
0.387755,67.5318
0.408163,53.3834
0.428571,42.693
0.44898,34.625
0.469388,28.0291
0.489796,22.4149
0.510204,18.7011
0.530612,15.5394
0.55102,13.3329
0.571429,11.0031
0.591837,9.21235
0.612245,7.96323
0.632653,6.90631
0.653061,5.99348
0.673469,5.03517
0.693878,4.45813
0.714286,3.96463
0.734694,3.45753
0.755102,2.99379
0.77551,2.63598
0.795918,2.42994
0.816327,2.17542
0.836735,1.91706
0.857143,1.67843
0.877551,1.52833
0.897959,1.41761
0.918367,1.24238
0.938776,1.14779
0.959184,1.05451
0.979592,0.980377
1,0.874923
