# 20251205_144444
# primespec:	data/AuAu200_cc_(0,5)/primaryspec/spec_20251205_143538_017/spectr.txt
# qmax:	4
# ma:	0.382857
# mb:	0.14
# mc:	0.14
# [=>] pabc:	0.130556
# [=>] Eabc:	0.191429
# B:	1
# Q:	1
# epsrel:	1e-05
# epsabs:	0
# iter:	100000
pT,decayspec
0,2999.93
0.0204082,3048.11
0.0408163,3125.21
0.0612245,3176.56
0.0816327,3158.39
0.102041,2939.53
0.122449,2477.17
0.142857,1802.19
0.163265,1195.91
0.183673,777.46
0.204082,497.653
0.22449,334.934
0.244898,217.587
0.265306,148.16
0.285714,103.176
0.306122,73.7696
0.326531,55.8406
0.346939,41.7845
0.367347,33.182
0.387755,26.0948
0.408163,20.3345
0.428571,15.6889
0.44898,12.9234
0.469388,10.5264
0.489796,8.98291
0.510204,7.57116
0.530612,6.37531
0.55102,5.32057
0.571429,4.34439
0.591837,3.73738
0.612245,3.19888
0.632653,2.92268
0.653061,2.59333
0.673469,2.35778
0.693878,5.33587
0.714286,1.76063
0.734694,1.49868
0.755102,1.36549
0.77551,1.24335
0.795918,1.15796
0.816327,1.0451
0.836735,0.929108
0.857143,0.84288
0.877551,0.75944
0.897959,0.723016
0.918367,0.677872
0.938776,0.644526
0.959184,0.573944
0.979592,0.532072
1,0.465299
