# 20251208_111053
# primespec:	data/XeXe544_cc_(0,5)/primaryspec/spec_20251208_105931_125/spectr.txt
# qmax:	4
# ma:	1
# mb:	0.14
# mc:	0.14
# [=>] pabc:	0.48
# [=>] Eabc:	0.5
# B:	1
# Q:	1
# epsrel:	1e-05
# epsabs:	0
# iter:	100000
pT,decayspec
0,2536.53
0.0204082,2540.27
0.0408163,2548.44
0.0612245,2562.6
0.0816327,2582.29
0.102041,2607.64
0.122449,2640.16
0.142857,2679.64
0.163265,2725.39
0.183673,2778.71
0.204082,2840.28
0.22449,2911.28
0.244898,2989.99
0.265306,3082.2
0.285714,3187.57
0.306122,3307.96
0.326531,3451.31
0.346939,3622.48
0.367347,3833.81
0.387755,4093.48
0.408163,4499.64
0.428571,4985.51
0.44898,5968.66
0.469388,7408.92
0.489796,4119.44
0.510204,1205.69
0.530612,919.504
0.55102,618.97
0.571429,434.654
0.591837,363.796
0.612245,290.341
0.632653,238.019
0.653061,197.469
0.673469,165.937
0.693878,140.96
0.714286,120.099
0.734694,103.022
0.755102,88.6092
0.77551,76.6658
0.795918,66.9273
0.816327,59.0327
0.836735,51.8107
0.857143,45.49
0.877551,40.2534
0.897959,35.7794
0.918367,31.8942
0.938776,28.5408
0.959184,25.4178
0.979592,22.9345
1,20.6475
