# 20260616_164701
qT,primespec
0,126217
0.004004,124891
0.00800801,123460
0.012012,121078
0.016016,116888
0.02002,111821
0.024024,105987
0.028028,99226.7
0.032032,92059
0.036036,84292.7
0.04004,76290.3
0.044044,68174.7
0.048048,60024.3
0.0520521,52118.4
0.0560561,44469.8
0.0600601,37275.4
0.0640641,30624
0.0680681,24580.8
0.0720721,19245.7
0.0760761,14607.3
0.0800801,10778
0.0840841,7568.58
0.0880881,5190.04
0.0920921,3670.4
0.0960961,2547.03
0.1001,2114.35
0.104104,2274.05
0.108108,2698.46
0.112112,3285.21
0.116116,4298.79
0.12012,5556.14
0.124124,6776.05
0.128128,8042.6
0.132132,9193.36
0.136136,10275.2
0.14014,11150.7
0.144144,11842.2
0.148148,12368.5
0.152152,12460.6
0.156156,12414.1
0.16016,12327.9
0.164164,11988.7
0.168168,11324.4
0.172172,10596.9
0.176176,9712.49
0.18018,8749.07
0.184184,7746.75
0.188188,6705.19
0.192192,5690.83
0.196196,4705.27
0.2002,3783.06
0.204204,2947.72
0.208208,2205.46
0.212212,1570.84
0.216216,1048.61
0.22022,649.096
0.224224,304.462
0.228228,135.237
0.232232,114.494
0.236236,131.21
0.24024,163.429
0.244244,245.714
0.248248,439.104
0.252252,656.521
0.256256,872.396
0.26026,1087.84
0.264264,1291.35
0.268268,1480.61
0.272272,1631.45
0.276276,1764.95
0.28028,1848.81
0.284284,1876.99
0.288288,1894.04
0.292292,1890.91
0.296296,1831.85
0.3003,1746.64
0.304304,1648.08
0.308308,1525.28
0.312312,1399.14
0.316316,1265.47
0.32032,1134.32
0.324324,1010.06
0.328328,893.306
0.332332,792.281
0.336336,702.051
0.34034,628.954
0.344344,571.606
0.348348,525.904
0.352352,498.449
0.356356,478.591
0.36036,468.804
0.364364,470.046
0.368368,474.239
0.372372,480.197
0.376376,491.546
0.38038,505.004
0.384384,517.591
0.388388,530.448
0.392392,541.97
0.396396,552.65
0.4004,561.615
0.404404,569.023
0.408408,575.085
0.412412,576.522
0.416416,576.351
0.42042,575.992
0.424424,572.71
0.428428,564.055
0.432432,553.738
0.436436,539.811
0.44044,523.327
0.444444,505.093
0.448448,484.638
0.452452,464.16
0.456456,443.071
0.46046,423.205
0.464464,405.373
0.468468,389.242
0.472472,377.14
0.476476,367.113
0.48048,360.573
0.484484,357.969
0.488488,356.323
0.492492,356.06
0.496496,357.293
0.500501,358.409
0.504505,358.114
0.508509,356.956
0.512513,355.067
0.516517,350.202
0.520521,343.529
0.524525,335.957
0.528529,326.876
0.532533,318.101
0.536537,309.237
0.540541,301.486
0.544545,295.476
0.548549,290.51
0.552553,288.172
0.556557,287.029
0.560561,286.47
0.564565,286.591
0.568569,286.93
0.572573,286.944
0.576577,285.234
0.580581,282.276
0.584585,278.001
0.588589,271.406
0.592593,264.14
0.596597,255.634
0.600601,247.037
0.604605,239.171
0.608609,231.817
0.612613,227.019
0.616617,223.534
0.620621,221.593
0.624625,221.992
0.628629,223.553
0.632633,225.325
0.636637,227.86
0.640641,229.745
0.644645,229.543
0.648649,228.408
0.652653,226.578
0.656657,221.773
0.660661,215.142
0.664665,207.978
0.668669,199.659
0.672673,191.972
0.676677,184.528
0.680681,178.398
0.684685,174.265
0.688689,171.027
0.692693,170.104
0.696697,170.327
0.700701,170.695
0.704705,171.178
0.708709,171.804
0.712713,171.955
0.716717,170.448
0.720721,167.812
0.724725,164.353
0.728729,159.348
0.732733,154.252
0.736737,148.798
0.740741,143.906
0.744745,140.306
0.748749,137.313
0.752753,136.407
0.756757,136.815
0.760761,137.585
0.764765,138.986
0.768769,141.333
0.772773,142.651
0.776777,143.162
0.780781,143.432
0.784785,142.697
0.788789,139.942
0.792793,136.739
0.796797,132.754
0.800801,128.594
0.804805,125.01
0.808809,121.68
0.812813,120.185
0.816817,119.722
0.820821,119.491
0.824825,119.985
0.828829,121.687
0.832833,122.958
0.836837,123.714
0.840841,124.175
0.844845,123.669
0.848849,121.527
0.852853,118.835
0.856857,115.079
0.860861,110.747
0.864865,106.655
0.868869,102.555
0.872873,99.4849
0.876877,97.0213
0.880881,95.4314
0.884885,95.2041
0.888889,95.1448
0.892893,95.0984
0.896897,95.0656
0.900901,95.0248
0.904905,94.558
0.908909,92.8681
0.912913,90.7894
0.916917,88.0462
0.920921,84.9895
0.924925,82.193
0.928929,79.4467
0.932933,77.8726
0.936937,77.0937
0.940941,76.655
0.944945,76.92
0.948949,78.1084
0.952953,79.2598
0.956957,80.3147
0.960961,81.0913
0.964965,80.9757
0.968969,80.1059
0.972973,78.9048
0.976977,76.8504
0.980981,74.3372
0.984985,72.0553
0.988989,69.7651
0.992993,68.5118
0.996997,68.0003
1.001,67.7175
1.00501,67.9658
1.00901,69.0781
1.01301,70.0664
1.01702,70.7802
1.02102,71.2755
1.02503,71.0782
1.02903,69.9131
1.03303,68.3919
1.03704,66.1988
1.04104,63.6524
1.04505,61.398
1.04905,59.1899
1.05305,57.9753
1.05706,57.4917
1.06106,57.2215
1.06507,57.4279
1.06907,58.3422
1.07307,58.8624
1.07708,58.9013
1.08108,58.9206
1.08509,58.5636
1.08909,56.8575
1.09309,54.8052
1.0971,52.3717
1.1011,49.8281
1.10511,47.8063
1.10911,45.9531
1.11311,45.2129
1.11712,45.3758
1.12112,45.7416
1.12513,46.428
1.12913,47.8733
1.13313,48.9792
1.13714,49.5445
1.14114,49.9033
1.14515,49.7052
1.14915,48.4922
1.15315,47.0179
1.15716,45.2185
1.16116,43.4039
1.16517,42.2848
1.16917,41.4211
1.17317,41.083
1.17718,41.5538
1.18118,42.4606
1.18519,43.4039
1.18919,44.583
1.19319,45.1497
1.1972,44.9561
1.2012,44.4964
1.20521,43.644
1.20921,41.737
1.21321,39.7381
1.21722,37.657
1.22122,35.9043
1.22523,35.371
1.22923,35.14
1.23323,35.0605
1.23724,35.88
1.24124,37.3873
1.24525,38.5344
1.24925,39.6082
1.25325,40.0987
1.25726,39.6201
1.26126,38.5571
1.26527,37.1203
1.26927,34.7863
1.27327,32.5362
1.27728,30.339
1.28128,28.6234
1.28529,28.3744
1.28929,28.4383
1.29329,28.5574
1.2973,29.5078
1.3013,31.1469
1.30531,32.2784
1.30931,33.2284
1.31331,33.6622
1.31732,33.2197
1.32132,32.2493
1.32533,31.0583
1.32933,29.31
1.33333,27.9083
1.33734,27.0076
1.34134,26.3816
1.34535,26.4193
1.34935,27.275
1.35335,28.3833
1.35736,29.7815
1.36136,31.1937
1.36537,31.5449
1.36937,31.6213
1.37337,31.6486
1.37738,30.7677
1.38138,28.957
1.38539,27.2218
1.38939,25.2746
1.39339,23.8781
1.3974,23.1121
1.4014,22.6049
1.40541,22.6277
1.40941,23.308
1.41341,24.0851
1.41742,24.7566
1.42142,25.3339
1.42543,25.364
1.42943,24.8148
1.43343,24.0227
1.43744,22.8268
1.44144,21.368
1.44545,20.3059
1.44945,19.3849
1.45345,18.9448
1.45746,19.1959
1.46146,19.8026
1.46547,20.5472
1.46947,21.6926
1.47347,22.5392
1.47748,22.8078
1.48148,22.9718
1.48549,22.8738
1.48949,21.9701
1.49349,20.8807
1.4975,19.7456
1.5015,18.7104
1.50551,18.5094
1.50951,18.5507
1.51351,18.6308
1.51752,19.2046
1.52152,20.3277
1.52553,21.1602
1.52953,21.8706
1.53353,22.24
1.53754,21.9588
1.54154,21.2406
1.54555,20.3402
1.54955,18.9513
1.55355,17.6221
1.55756,16.4843
1.56156,15.5617
1.56557,15.3786
1.56957,15.4078
1.57357,15.4618
1.57758,15.7023
1.58158,16.0833
1.58559,16.1475
1.58959,15.8578
1.59359,15.4054
1.5976,14.6535
1.6016,13.6486
1.60561,12.9127
1.60961,12.2813
1.61361,11.9551
1.61762,12.1868
1.62162,12.819
1.62563,13.5824
