# 20260616_164027
# primespec:	data/XeXe544_cc_(0,5)plus15/primaryspec/spec_20260616_155214_007/spectr.txt
# qmax:	4
# ma:	0.325714
# mb:	0.14
# mc:	0.14
# [=>] pabc:	0.083201
# [=>] Eabc:	0.162857
# B:	1
# Q:	1
# epsrel:	1e-05
# epsabs:	0
# iter:	100000
pT,decayspec
0,14398
0.0204082,14594
0.0408163,15680.4
0.0612245,20194.9
0.0816327,16624
0.102041,5687.67
0.122449,1186.01
0.142857,764.775
0.163265,497.419
0.183673,284.281
0.204082,187.988
0.22449,125.23
0.244898,86.4431
0.265306,60.3836
0.285714,48.2151
0.306122,35.7329
0.326531,27.3835
0.346939,20.2876
0.367347,17.2594
0.387755,14.7683
0.408163,11.2285
0.428571,9.35569
0.44898,8.06947
0.469388,7.32812
0.489796,6.0083
0.510204,5.07087
0.530612,4.54306
0.55102,4.13797
0.571429,3.81129
0.591837,3.14484
0.612245,2.99886
0.632653,2.84172
0.653061,2.49986
0.673469,2.24229
0.693878,2.16328
0.714286,2.0746
0.734694,1.78999
0.755102,1.70167
0.77551,1.61538
0.795918,1.50739
0.816327,1.4385
0.836735,1.3449
0.857143,1.29164
0.877551,1.22484
0.897959,1.16447
0.918367,1.08207
0.938776,1.05332
0.959184,1.02958
0.979592,0.927623
1,0.893855
