PT [GEV],(1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP [GEV**-2]
0.11,683.1669720998748
0.13,635.0974633183296
0.15000000000000002,587.4333969964035
0.16999999999999998,541.4670272174658
0.19,497.98427410619877
0.225,428.89956470592494
0.275,346.00047305329565
0.32499999999999996,279.722367084457
0.375,227.0176855931272
0.42500000000000004,185.04233455655782
0.475,151.47060537165
0.525,124.48072525642414
0.575,102.66897255557737
0.625,84.95292672133127
0.675,70.49774779214493
0.725,58.65350524393493
0.775,48.912210600715305
0.825,40.87335575118937
0.875,34.21937136377396
0.925,28.696667428986775
0.975,24.101874606860875
1.05,18.599102402414115
1.15,13.21961148293315
1.25,9.435333420463266
1.35,6.758063248117422
1.45,4.855731275096546
1.55,3.49860976594465
1.65,2.5271465821353605
1.75,1.829374204764401
1.85,1.3270737494035818
1.95,0.9643153721885465
2.05,0.7019080101716177
2.1500000000000004,0.5117012238103105
2.25,0.3735398208521903
2.3499999999999996,0.2729989068287092
2.45,0.19973305494022675
