# 20260615_153113
# primespec:	data/AuAu200_cc_(0,5)plus10/primaryspec/spec_20260615_151522_101/spectr.txt
# qmax:	4
# ma:	0.862857
# mb:	0.14
# mc:	0.14
# [=>] pabc:	0.408082
# [=>] Eabc:	0.431429
# B:	1
# Q:	1
# epsrel:	1e-05
# epsabs:	0
# iter:	100000
pT,decayspec
0,423.71
0.0204082,424.639
0.0408163,427.056
0.0612245,431.665
0.0816327,437.552
0.102041,444.857
0.122449,454.502
0.142857,463.633
0.163265,474.436
0.183673,484.867
0.204082,494.965
0.22449,504.948
0.244898,514.51
0.265306,522.401
0.285714,530.636
0.306122,536.125
0.326531,539.991
0.346939,536.625
0.367347,517.148
0.387755,470.361
0.408163,413.537
0.428571,349.22
0.44898,283.731
0.469388,225.609
0.489796,179.988
0.510204,146.97
0.530612,120.666
0.55102,101.13
0.571429,85.7404
0.591837,72.3883
0.612245,62.0462
0.632653,53.5743
0.653061,45.9461
0.673469,40.2964
0.693878,35.0164
0.714286,30.5002
0.734694,27.0014
0.755102,23.6392
0.77551,20.8489
0.795918,18.6132
0.816327,16.3488
0.836735,14.5593
0.857143,12.9382
0.877551,11.4773
0.897959,10.3513
0.918367,9.26696
0.938776,8.2838
0.959184,7.54561
0.979592,6.81323
1,6.23415
