# 20260615_161152
# primespec:	data/AuAu200_cc_(0,5)plus15/primaryspec/spec_20260615_155844_125/spectr.txt
# qmax:	4
# ma:	1
# mb:	0.14
# mc:	0.14
# [=>] pabc:	0.48
# [=>] Eabc:	0.5
# B:	1
# Q:	1
# epsrel:	1e-05
# epsabs:	0
# iter:	100000
pT,decayspec
0,292.628
0.0204082,292.755
0.0408163,293.711
0.0612245,295.987
0.0816327,299.146
0.102041,303.105
0.122449,308.202
0.142857,313.289
0.163265,319.655
0.183673,325.219
0.204082,331.794
0.22449,338.618
0.244898,344.146
0.265306,349.534
0.285714,354.743
0.306122,358.999
0.326531,362.751
0.346939,365.03
0.367347,369.835
0.387755,375.844
0.408163,380.882
0.428571,374.825
0.44898,358.065
0.469388,324.645
0.489796,279.655
0.510204,229.067
0.530612,184.801
0.55102,149.545
0.571429,121.225
0.591837,100.341
0.612245,85.497
0.632653,73.9862
0.653061,64.4938
0.673469,57.109
0.693878,50.2828
0.714286,44.1373
0.734694,39.1409
0.755102,34.3762
0.77551,30.3514
0.795918,27.1848
0.816327,24.1945
0.836735,21.5263
0.857143,19.4114
0.877551,17.4573
0.897959,15.5442
0.918367,14.1274
0.938776,12.6296
0.959184,11.3701
0.979592,10.3414
1,9.30241
