PT [GEV],(1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP [GEV**-2]
0.11,437.8122953166146
0.13,407.25117126472816
0.15000000000000002,376.3466478643094
0.16999999999999998,346.1144827721275
0.19,317.24152524663344
0.225,271.04789040542056
0.275,215.47235051077354
0.32499999999999996,171.21922847956534
0.375,136.3219844335892
0.42500000000000004,108.83437912314359
0.475,87.13775838006686
0.525,69.95565093115901
0.575,56.301321229593924
0.625,45.41296894376308
0.675,36.70325647296031
0.725,29.71605823611935
0.775,24.096495003142703
0.825,19.56662024855017
0.875,15.907884353908077
0.925,12.947468608547652
0.975,10.54846912970727
1.05,7.770061509648466
1.15,5.183031385918426
1.25,3.467018396769267
1.35,2.3245079822063652
1.45,1.5617919202058252
1.55,1.051280453915805
1.65,0.7088296276936725
1.75,0.47853261531834335
1.85,0.32351906524017093
1.95,0.21889222554108043
2.05,0.14824995267360702
2.1500000000000004,0.10049409704969287
2.25,0.06816560095305849
2.3499999999999996,0.04625652392517475
2.45,0.03139943897342953
