# 20260615_153503
# primespec:	data/AuAu200_cc_(0,5)plus10/primaryspec/spec_20260615_151917_211/spectr.txt
# qmax:	4
# ma:	1.49143
# mb:	0.14
# mc:	0.14
# [=>] pabc:	0.732455
# [=>] Eabc:	0.745715
# B:	1
# Q:	1
# epsrel:	1e-05
# epsabs:	0
# iter:	100000
pT,decayspec
0,220.736
0.0204082,220.913
0.0408163,221.456
0.0612245,222.394
0.0816327,223.793
0.102041,226.08
0.122449,228.389
0.142857,230.901
0.163265,233.604
0.183673,236.255
0.204082,239.17
0.22449,242.611
0.244898,245.979
0.265306,249.514
0.285714,253.102
0.306122,256.933
0.326531,260.575
0.346939,264.284
0.367347,268.012
0.387755,271.516
0.408163,275.134
0.428571,278.828
0.44898,281.819
0.469388,284.814
0.489796,287.661
0.510204,290.331
0.530612,292.179
0.55102,294.068
0.571429,294.734
0.591837,294.618
0.612245,293.332
0.632653,291.682
0.653061,287.527
0.673469,280.987
0.693878,268.221
0.714286,250.187
0.734694,229.598
0.755102,206.904
0.77551,182.153
0.795918,158.789
0.816327,139.404
0.836735,122.446
0.857143,108.02
0.877551,96.102
0.897959,85.7607
0.918367,76.9143
0.938776,68.8891
0.959184,62.1085
0.979592,56.0201
1,50.6918
