$p_T$ (GeV/c),$\frac{1}{N_{Event}2\pi p_{T}}\frac{d^{2}N}{dp_{T}dy}$,stat_err +
0.25,204,1.7
0.35,118,0.99
0.45,70.9,0.62
0.55,42.8,0.4
0.65,26.5,0.27
0.75,17.3,0.2
0.85,10.7,0.13
0.95,7.12,0.096
1.05,4.77,0.069
1.15,3.16,0.05
1.25,2.1,0.036
1.35,1.52,0.029
1.45,1.05,0.022
1.55,0.678,0.015
1.65,0.493,0.012
1.75,0.36,0.01
1.85,0.256,0.0082
1.95,0.178,0.0066
2.05,0.135,0.0046
2.15,0.102,0.004
2.25,0.0665,0.0031
2.35,0.0543,0.003
2.45,0.0397,0.0026
2.55,0.0288,0.0024
2.65,0.0221,0.0022
2.75,0.0158,0.002
2.85,0.0137,0.0019
2.95,0.0108,0.0018
