PT [GEV],(1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP [GEV**-2]
0.11,1018.0872421811089
0.13,948.6116601062322
0.15000000000000002,879.977651640099
0.16999999999999998,813.7996327437945
0.19,751.0842723185625
0.225,650.9630128664876
0.275,529.6856564000386
0.32499999999999996,431.65719009008814
0.375,352.9901696953809
0.42500000000000004,289.87163755165153
0.475,239.0654848437344
0.525,197.97255541558323
0.575,164.56045477054747
0.625,137.2482041964592
0.675,114.81217693299033
0.725,96.29664413333268
0.775,80.95395126995214
0.825,68.19355194304082
0.875,57.54607072118972
0.925,48.635884446052046
0.975,41.160692288117644
1.05,32.11517860978837
1.15,23.143846051209405
1.25,16.728878406055454
1.35,12.119127046853446
1.45,8.795402316182532
1.55,6.39205929631053
1.65,4.650490576123341
1.75,3.3858424521179025
1.85,2.466647865668771
1.95,1.7973401358460628
2.05,1.3098301280648175
2.1500000000000004,0.9545106492021987
2.25,0.695366695805636
2.3499999999999996,0.5062957180716451
2.45,0.3683625960737194
