# 20251205_150958
# primespec:	data/PbPb276_cc_(0,5)/primaryspec/spec_20251205_145857_056/spectr.txt
# qmax:	4
# ma:	0.605714
# mb:	0.14
# mc:	0.14
# [=>] pabc:	0.268556
# [=>] Eabc:	0.302857
# B:	1
# Q:	1
# epsrel:	1e-05
# epsabs:	0
# iter:	100000
pT,decayspec
0,3254.84
0.0204082,3265.61
0.0408163,3300.46
0.0612245,3357.38
0.0816327,3437.31
0.102041,3543.79
0.122449,3677.63
0.142857,3839.74
0.163265,4043.43
0.183673,4291.22
0.204082,4622.07
0.22449,5142.63
0.244898,6148.94
0.265306,5487.02
0.285714,2929.74
0.306122,1212.19
0.326531,753.026
0.346939,546.432
0.367347,399.642
0.387755,299.742
0.408163,231.43
0.428571,179.378
0.44898,143.089
0.469388,114.158
0.489796,92.5848
0.510204,75.8258
0.530612,62.6414
0.55102,51.996
0.571429,43.2359
0.591837,36.8265
0.612245,31.0167
0.632653,26.6068
0.653061,22.5956
0.673469,19.489
0.693878,16.864
0.714286,14.6838
0.734694,12.7694
0.755102,11.1159
0.77551,9.85128
0.795918,8.6691
0.816327,7.78657
0.836735,6.76798
0.857143,6.01438
0.877551,5.32502
0.897959,4.8273
0.918367,4.36311
0.938776,3.89817
0.959184,3.46232
0.979592,3.12986
1,2.87793
