# 20251205_150400
alpha,Re@phi,Im@phi,Re@Dphi,Im@Dphi
0,0.1,0,0,0
0.00157237,0.1,0,0,0
0.00314474,0.1,0,0,0
0.00471711,0.1,0,0,0
0.00628947,0.1,0,0,0
0.00786184,0.1,0,0,0
0.00943421,0.1,0,0,0
0.0110066,0.1,0,0,0
0.0125789,0.1,0,0,0
0.0141513,0.1,0,0,0
0.0157237,0.1,0,0,0
0.0172961,0.1,0,0,0
0.0188684,0.1,0,0,0
0.0204408,0.1,0,0,0
0.0220132,0.1,0,0,0
0.0235855,0.1,0,0,0
0.0251579,0.1,0,0,0
0.0267303,0.1,0,0,0
0.0283026,0.1,0,0,0
0.029875,0.1,0,0,0
0.0314474,0.1,0,0,0
0.0330197,0.1,0,0,0
0.0345921,0.1,0,0,0
0.0361645,0.1,0,0,0
0.0377368,0.1,0,0,0
0.0393092,0.1,0,0,0
0.0408816,0.1,0,0,0
0.042454,0.1,0,0,0
0.0440263,0.1,0,0,0
0.0455987,0.1,0,0,0
0.0471711,0.1,0,0,0
0.0487434,0.1,0,0,0
0.0503158,0.1,0,0,0
0.0518882,0.1,0,0,0
0.0534605,0.1,0,0,0
0.0550329,0.1,0,0,0
0.0566053,0.1,0,0,0
0.0581776,0.1,0,0,0
0.05975,0.1,0,0,0
0.0613224,0.1,0,0,0
0.0628947,0.1,0,0,0
0.0644671,0.1,0,0,0
0.0660395,0.1,0,0,0
0.0676119,0.1,0,0,0
0.0691842,0.1,0,0,0
0.0707566,0.1,0,0,0
0.072329,0.1,0,0,0
0.0739013,0.1,0,0,0
0.0754737,0.1,0,0,0
0.0770461,0.1,0,0,0
0.0786184,0.1,0,0,0
0.0801908,0.1,0,0,0
0.0817632,0.1,0,0,0
0.0833355,0.1,0,0,0
0.0849079,0.1,0,0,0
0.0864803,0.1,0,0,0
0.0880526,0.1,0,0,0
0.089625,0.1,0,0,0
0.0911974,0.1,0,0,0
0.0927698,0.1,0,0,0
0.0943421,0.1,0,0,0
0.0959145,0.1,0,0,0
0.0974869,0.1,0,0,0
0.0990592,0.1,0,0,0
0.100632,0.1,0,0,0
0.102204,0.1,0,0,0
0.103776,0.1,0,0,0
0.105349,0.1,0,0,0
0.106921,0.1,0,0,0
0.108493,0.1,0,0,0
0.110066,0.1,0,0,0
0.111638,0.1,0,0,0
0.113211,0.1,0,0,0
0.114783,0.1,0,0,0
0.116355,0.1,0,0,0
0.117928,0.1,0,0,0
0.1195,0.1,0,0,0
0.121072,0.1,0,0,0
0.122645,0.1,0,0,0
0.124217,0.1,0,0,0
0.125789,0.1,0,0,0
0.127362,0.1,0,0,0
0.128934,0.1,0,0,0
0.130507,0.1,0,0,0
0.132079,0.1,0,0,0
0.133651,0.1,0,0,0
0.135224,0.1,0,0,0
0.136796,0.1,0,0,0
0.138368,0.1,0,0,0
0.139941,0.1,0,0,0
0.141513,0.1,0,0,0
0.143086,0.1,0,0,0
0.144658,0.1,0,0,0
0.14623,0.1,0,0,0
0.147803,0.1,0,0,0
0.149375,0.1,0,0,0
0.150947,0.1,0,0,0
0.15252,0.1,0,0,0
0.154092,0.1,0,0,0
0.155665,0.1,0,0,0
0.157237,0.1,0,0,0
0.158809,0.1,0,0,0
0.160382,0.1,0,0,0
0.161954,0.1,0,0,0
0.163526,0.1,0,0,0
0.165099,0.1,0,0,0
0.166671,0.1,0,0,0
0.168243,0.1,0,0,0
0.169816,0.1,0,0,0
0.171388,0.1,0,0,0
0.172961,0.1,0,0,0
0.174533,0.1,0,0,0
