# 20260615_161044
# primespec:	data/AuAu200_cc_(0,5)plus15/primaryspec/spec_20260615_155800_089/spectr.txt
# qmax:	4
# ma:	0.794286
# mb:	0.14
# mc:	0.14
# [=>] pabc:	0.371648
# [=>] Eabc:	0.397143
# B:	1
# Q:	1
# epsrel:	1e-05
# epsabs:	0
# iter:	100000
pT,decayspec
0,387.885
0.0204082,388.446
0.0408163,391.436
0.0612245,396.861
0.0816327,402.879
0.102041,410.378
0.122449,418.717
0.142857,428.865
0.163265,437.541
0.183673,445.578
0.204082,453.774
0.22449,460.231
0.244898,465.965
0.265306,472.262
0.285714,484.056
0.306122,495.451
0.326531,490.14
0.346939,453.477
0.367347,395.855
0.387755,328.111
0.408163,259.166
0.428571,196.936
0.44898,149.552
0.469388,118.483
0.489796,96.6506
0.510204,80.5815
0.530612,69.0804
0.55102,59.5698
0.571429,51.0311
0.591837,44.2601
0.612245,38.1702
0.632653,32.7248
0.653061,28.613
0.673469,24.8402
0.693878,21.6173
0.714286,19.159
0.734694,60.5314
0.755102,14.7963
0.77551,13.2013
0.795918,11.6021
0.816327,10.2565
0.836735,9.15268
0.857143,8.04547
0.877551,7.19823
0.897959,6.4877
0.918367,5.74402
0.938776,5.23622
0.959184,4.77081
0.979592,4.31034
1,3.96128
