# 20251208_101526
qT,primespec
0,111604
0.004004,110744
0.00800801,109814
0.012012,108264
0.016016,105528
0.02002,102202
0.024024,98352.7
0.028028,93857.9
0.032032,89050.2
0.036036,83782.6
0.04004,78285.7
0.044044,72623.4
0.048048,66830.3
0.0520521,61092.8
0.0560561,55388.3
0.0600601,49860.8
0.0640641,44555.3
0.0680681,39506.4
0.0720721,34805.4
0.0760761,30427.7
0.0800801,26450.6
0.0840841,22865.5
0.0880881,19666
0.0920921,16878.9
0.0960961,14434.6
0.1001,12369
0.104104,10627.7
0.108108,9173.59
0.112112,8020.85
0.116116,7071.88
0.12012,6343.23
0.124124,5791.11
0.128128,5361.84
0.132132,5068.65
0.136136,4849.65
0.14014,4697.41
0.144144,4600.24
0.148148,4528.68
0.152152,4472.03
0.156156,4429.01
0.16016,4384.86
0.164164,4331.46
0.168168,4270.95
0.172172,4198.4
0.176176,4108.91
0.18018,4007.21
0.184184,3892.56
0.188188,3764.42
0.192192,3630.08
0.196196,3486.58
0.2002,3340.78
0.204204,3195.07
0.208208,3050.26
0.212212,2913.36
0.216216,2782.11
0.22022,2661.37
0.224224,2552.47
0.228228,2453.56
0.232232,2367.56
0.236236,2291.89
0.24024,2224.94
0.244244,2166.39
0.248248,2113.85
0.252252,2063.76
0.256256,2016.81
0.26026,1970.21
0.264264,1922.11
0.268268,1873.38
0.272272,1823.46
0.276276,1771.87
0.28028,1720.75
0.284284,1670.64
0.288288,1621.86
0.292292,1577.22
0.296296,1535.74
0.3003,1498.37
0.304304,1465.84
0.308308,1436.67
0.312312,1409.84
0.316316,1385.69
0.32032,1361.81
0.324324,1336.9
0.328328,1311.31
0.332332,1283.57
0.336336,1253.17
0.34034,1221.37
0.344344,1188.26
0.348348,1154.27
0.352352,1122.05
0.356356,1090.84
0.36036,1062.54
0.364364,1038.2
0.368368,1016.64
0.372372,998.413
0.376376,983.255
0.38038,969.119
0.384384,955.195
0.388388,941.51
0.392392,925.923
0.396396,907.983
0.4004,888.262
0.404404,866.341
0.408408,842.509
0.412412,819.152
0.416416,795.545
0.42042,773.93
0.424424,755.477
0.428428,739.251
0.432432,726.933
0.436436,717.586
0.44044,709.708
0.444444,702.97
0.448448,696.993
0.452452,689.575
0.456456,680.183
0.46046,669.091
0.464464,655.594
0.468468,639.648
0.472472,623.496
0.476476,606.431
0.48048,590.606
0.484484,577.248
0.488488,565.559
0.492492,557.607
0.496496,552.167
0.500501,547.99
0.504505,544.901
0.508509,542.432
0.512513,538.773
0.516517,532.781
0.520521,524.955
0.524525,514.794
0.528529,501.764
0.532533,488.35
0.536537,473.864
0.540541,460.296
0.544545,448.987
0.548549,439.103
0.552553,432.539
0.556557,428.279
0.560561,424.954
0.564565,422.265
0.568569,420.026
0.572573,416.666
0.576577,410.825
0.580581,403.195
0.584585,393.677
0.588589,381.79
0.592593,370.072
0.596597,357.903
0.600601,347.242
0.604605,339.284
0.608609,332.775
0.612613,329.975
0.616617,329.054
0.620621,328.412
0.624625,327.791
0.628629,327.243
0.632633,326.096
0.636637,321.841
0.640641,315.593
0.644645,308.267
0.648649,299.156
0.652653,290.887
0.656657,282.777
0.660661,276.68
0.664665,273.967
0.668669,272.176
0.672673,271.794
0.676677,273.41
0.680681,275.046
0.684685,274.896
0.688689,273.895
0.692693,272.203
0.696697,267.059
0.700701,259.895
0.704705,252.412
0.708709,243.97
0.712713,237.101
0.716717,231.049
0.720721,226.964
0.724725,225.89
0.728729,225.323
0.732733,225.152
0.736737,225.135
0.740741,225.118
0.744745,223.979
0.748749,219.959
0.752753,215.1
0.756757,208.524
0.760761,201.401
0.764765,195.063
0.768769,189.055
0.772773,185.797
0.776777,184.149
0.780781,183.264
0.784785,183.685
0.788789,185.079
0.792793,185.647
0.796797,184.884
0.800801,183.38
0.804805,180.675
0.808809,175.675
0.812813,170.63
0.816817,165.201
0.820821,160.714
0.824825,158.611
0.828829,157.197
0.832833,156.827
0.836837,158.401
0.840841,160.24
0.844845,160.576
0.848849,160.694
0.852853,160.641
0.856857,157.789
0.860861,153.059
0.864865,148.191
0.868869,142.491
0.872873,138.068
0.876877,134.455
0.880881,132.135
0.884885,132.103
0.888889,132.671
0.892893,133.192
0.896897,133.644
0.900901,133.962
0.904905,133.258
0.908909,130.281
0.912913,126.711
0.916917,122.089
0.920921,117.31
0.924925,113.634
0.928929,110.374
0.932933,109.221
0.936937,109.475
0.940941,109.957
0.944945,110.687
0.948949,111.83
0.952953,112.306
0.956957,111.277
0.960961,109.339
0.964965,106.832
0.968969,103.199
0.972973,100.177
0.976977,97.6469
0.980981,95.9292
0.984985,95.9316
0.988989,96.6591
0.992993,97.5072
0.996997,98.6424
1.001,99.6068
1.00501,99.3901
1.00901,97.9028
1.01301,95.9373
1.01702,92.8822
1.02102,89.4476
1.02503,86.8131
1.02903,84.4354
1.03303,83.5306
1.03704,83.7459
1.04104,84.1316
1.04505,84.5402
1.04905,85.0439
1.05305,85.2494
1.05706,84.0528
1.06106,81.8041
1.06507,79.2308
1.06907,75.8477
1.07307,73.1731
1.07708,71.1507
1.08108,69.7886
1.08509,69.8223
1.08909,70.6624
1.09309,71.5155
1.0971,72.295
1.1011,72.8985
1.10511,72.6353
1.10911,70.9895
1.11311,68.963
1.11712,66.2603
1.12112,63.5975
1.12513,62.2818
1.12913,61.4041
1.13313,61.0883
1.13714,62.1062
1.14114,63.8141
1.14515,64.9639
1.14915,65.9445
1.15315,66.3464
1.15716,65.3332
1.16116,63.3741
1.16517,61.1957
1.16917,58.3751
1.17317,56.4641
1.17718,55.4987
1.18118,54.9016
1.18519,55.1107
1.18919,56.4102
1.19319,57.3548
1.1972,57.6195
