# 20260616_150836
# primespec:	data/XeXe544_cc_(0,5)plus10/primaryspec/spec_20260616_144047_044/spectr.txt
# qmax:	4
# ma:	0.537143
# mb:	0.14
# mc:	0.14
# [=>] pabc:	0.229196
# [=>] Eabc:	0.268572
# B:	1
# Q:	1
# epsrel:	1e-05
# epsabs:	0
# iter:	100000
pT,decayspec
0,3821.8
0.0204082,3838.7
0.0408163,3887.02
0.0612245,3973.81
0.0816327,4096.83
0.102041,4272.77
0.122449,4498.7
0.142857,4800.94
0.163265,5302.9
0.183673,5741.46
0.204082,7555.6
0.22449,7397.9
0.244898,3253
0.265306,899.649
0.285714,649.061
0.306122,476.072
0.326531,281.974
0.346939,208.984
0.367347,159.951
0.387755,122.924
0.408163,94.9452
0.428571,76.1492
0.44898,60.0522
0.469388,48.5806
0.489796,38.8143
0.510204,32.6991
0.530612,27.2207
0.55102,22.9656
0.571429,18.8764
0.591837,16.0508
0.612245,13.8333
0.632653,12.1418
0.653061,10.3075
0.673469,8.88856
0.693878,7.65166
0.714286,6.92714
0.734694,6.149
0.755102,5.37755
0.77551,4.61259
0.795918,4.21384
0.816327,3.85876
0.836735,3.47276
0.857143,3.03782
0.877551,2.76802
0.897959,2.55172
0.918367,2.34531
0.938776,2.09345
0.959184,1.92392
0.979592,1.80255
1,1.68103
