# 20260616_115751
# primespec:	data/PbPb276_cc_(0,5)plus10/primaryspec/spec_20260616_114447_134/spectr.txt
# qmax:	4
# ma:	1.05143
# mb:	0.14
# mc:	0.14
# [=>] pabc:	0.506731
# [=>] Eabc:	0.525715
# B:	1
# Q:	1
# epsrel:	1e-05
# epsabs:	0
# iter:	100000
pT,decayspec
0,994.243
0.0204082,995.433
0.0408163,999.01
0.0612245,1005.42
0.0816327,1014.07
0.102041,1024.99
0.122449,1037.9
0.142857,1053.28
0.163265,1070.78
0.183673,1090.1
0.204082,1112.14
0.22449,1136.65
0.244898,1162.75
0.265306,1191.53
0.285714,1222.94
0.306122,1256.22
0.326531,1294.45
0.346939,1335.34
0.367347,1379.16
0.387755,1434.62
0.408163,1497.19
0.428571,1553.01
0.44898,1672.98
0.469388,1933.31
0.489796,2010.12
0.510204,1604.24
0.530612,1009.19
0.55102,545.098
0.571429,373.158
0.591837,322.451
0.612245,272.304
0.632653,222.498
0.653061,183.14
0.673469,154.934
0.693878,132.833
0.714286,114.663
0.734694,99.0094
0.755102,85.7838
0.77551,74.9919
0.795918,65.4874
0.816327,58.0456
0.836735,51.1426
0.857143,45.4579
0.877551,40.3446
0.897959,35.9167
0.918367,32.0205
0.938776,28.848
0.959184,25.7177
0.979592,23.3613
1,20.9841
