# 20260616_115705
# primespec:	data/PbPb276_cc_(0,5)plus10/primaryspec/spec_20260616_114400_107/spectr.txt
# qmax:	4
# ma:	0.897143
# mb:	0.14
# mc:	0.14
# [=>] pabc:	0.426165
# [=>] Eabc:	0.448571
# B:	1
# Q:	1
# epsrel:	1e-05
# epsabs:	0
# iter:	100000
pT,decayspec
0,1193.3
0.0204082,1195.07
0.0408163,1201.33
0.0612245,1211.07
0.0816327,1225.02
0.102041,1241.78
0.122449,1263.19
0.142857,1287.9
0.163265,1316.58
0.183673,1348.02
0.204082,1384.48
0.22449,1423.48
0.244898,1468.48
0.265306,1516.37
0.285714,1570.17
0.306122,1633.33
0.326531,1710.15
0.346939,1777.99
0.367347,1903.77
0.387755,2201.92
0.408163,2341.26
0.428571,1879.72
0.44898,1145.87
0.469388,590.356
0.489796,394.681
0.510204,332.935
0.530612,276.539
0.55102,220.807
0.571429,179.39
0.591837,149.32
0.612245,126.278
0.632653,107.072
0.653061,91.1498
0.673469,77.9717
0.693878,66.9746
0.714286,58.1304
0.734694,50.4186
0.755102,44.1111
0.77551,38.5407
0.795918,34.1207
0.816327,29.9274
0.836735,26.6311
0.857143,23.6349
0.877551,21.0818
0.897959,18.7231
0.918367,16.7631
0.938776,14.9902
0.959184,13.5893
0.979592,12.2196
1,11.0889
