PT [GEV],(1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP [GEV**-2]
0.11,313.38467999573646
0.13,290.5365869582999
0.15000000000000002,267.5900278694553
0.16999999999999998,245.26836685398985
0.19,224.050460423551
0.225,190.29782504414197
0.275,150.0298100196045
0.32499999999999996,118.27922201005867
0.375,93.47796520028406
0.42500000000000004,74.1169467348654
0.475,58.962504332767324
0.525,47.05525012008293
0.575,37.66275695940564
0.625,30.22548831728127
0.675,24.316073456336223
0.725,19.605470679634863
0.775,15.839656865623125
0.825,12.821158731147925
0.875,10.395850496587684
0.925,8.44275960888097
0.975,6.866793284727667
1.05,5.049777354925271
1.15,3.3662723227626987
1.25,2.2538733450356796
1.35,1.5146364563141557
1.45,1.0211965819598916
1.55,0.6904522786213657
1.65,0.4679820746308716
1.75,0.3177984504308611
1.85,0.21622826785309276
1.95,0.14729629301925007
2.05,0.10047036631169076
2.1500000000000004,0.06860560885786104
2.25,0.04688407740882425
2.3499999999999996,0.03205659939230908
2.45,0.021926791514308593
