#: table_doi: 10.17182/hepdata.61925.v1/t3
#: name: Table 3
#: description: pT-differential invariant yield of pion+ and pion- for centrality 10-20%.

#: data_file: Table_3.yaml
#: keyword reactions: PB PB --> PI+ X | PB PB --> PI- X
#: keyword observables: DN/DPT
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword cmenergies: 2760.0
#: CENTRALITY [pct],,,10.0-20.0
#: RE,,,PB PB --> PI+ X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: YRAP,,,-0.5-0.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,(1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP [GEV**-2],stat +,stat -,sys +,sys -,"sys,normalization uncertainty +","sys,normalization uncertainty -"
0.11,0.1,0.12,947.8,5.3,-5.3,118.4,-118.4,0.7%,-0.7%
0.13,0.12,0.14,862.5,3.4,-3.4,98.5,-98.5,0.7%,-0.7%
0.15000000000000002,0.14,0.16,770.0,2.7,-2.7,87.6,-87.6,0.7%,-0.7%
0.16999999999999998,0.16,0.18,696.3,2.2,-2.2,79.0,-79.0,0.7%,-0.7%
0.19,0.18,0.2,623.5,1.9,-1.9,70.7,-70.7,0.7%,-0.7%
0.225,0.2,0.25,511.7,1.0,-1.0,35.6,-35.6,0.7%,-0.7%
0.275,0.25,0.3,388.2,0.8,-0.8,26.8,-26.8,0.7%,-0.7%
0.32499999999999996,0.3,0.35,299.9,0.6,-0.6,21.8,-21.8,0.7%,-0.7%
0.375,0.35,0.4,236.4,0.5,-0.5,15.9,-15.9,0.7%,-0.7%
0.42500000000000004,0.4,0.45,187.5,0.4,-0.4,12.4,-12.4,0.7%,-0.7%
0.475,0.45,0.5,149.2,0.4,-0.4,9.8,-9.8,0.7%,-0.7%
0.525,0.5,0.55,118.3,0.3,-0.3,5.8,-5.8,0.7%,-0.7%
0.575,0.55,0.6,96.31,0.24,-0.24,4.6,-4.6,0.7%,-0.7%
0.625,0.6,0.65,79.15,0.24,-0.24,3.99,-3.99,0.7%,-0.7%
0.675,0.65,0.7,65.14,0.22,-0.22,3.27,-3.27,0.7%,-0.7%
0.725,0.7,0.75,53.81,0.19,-0.19,2.68,-2.68,0.7%,-0.7%
0.775,0.75,0.8,44.83,0.17,-0.17,2.22,-2.22,0.7%,-0.7%
0.825,0.8,0.85,37.34,0.16,-0.16,1.85,-1.85,0.7%,-0.7%
0.875,0.85,0.9,31.23,0.14,-0.14,1.57,-1.57,0.7%,-0.7%
0.925,0.9,0.95,26.46,0.14,-0.14,1.29,-1.29,0.7%,-0.7%
0.975,0.95,1.0,22.3,0.12,-0.12,1.09,-1.09,0.7%,-0.7%
1.05,1.0,1.1,17.25,0.07,-0.07,0.85,-0.85,0.7%,-0.7%
1.15,1.1,1.2,12.38,0.06,-0.06,0.61,-0.61,0.7%,-0.7%
1.25,1.2,1.3,9.01,0.033,-0.033,0.549,-0.549,0.7%,-0.7%
1.35,1.3,1.4,6.589,0.028,-0.028,0.403,-0.403,0.7%,-0.7%
1.45,1.4,1.5,4.771,0.021,-0.021,0.294,-0.294,0.7%,-0.7%
1.55,1.5,1.6,3.546,0.019,-0.019,0.221,-0.221,0.7%,-0.7%
1.65,1.6,1.7,2.607,0.017,-0.017,0.165,-0.165,0.7%,-0.7%
