# 20260616_115736
# primespec:	data/PbPb276_cc_(0,5)plus10/primaryspec/spec_20260616_114431_125/spectr.txt
# qmax:	4
# ma:	1
# mb:	0.14
# mc:	0.14
# [=>] pabc:	0.48
# [=>] Eabc:	0.5
# B:	1
# Q:	1
# epsrel:	1e-05
# epsabs:	0
# iter:	100000
pT,decayspec
0,1043.39
0.0204082,1045.64
0.0408163,1049.33
0.0612245,1056.68
0.0816327,1066.7
0.102041,1079.14
0.122449,1094.29
0.142857,1111.94
0.163265,1132.21
0.183673,1154.85
0.204082,1179.89
0.22449,1208.5
0.244898,1238.25
0.265306,1271.7
0.285714,1307.62
0.306122,1346.32
0.326531,1390.48
0.346939,1439.31
0.367347,1501.53
0.387755,1566.38
0.408163,1630.76
0.428571,1803.56
0.44898,2077.22
0.469388,2015.49
0.489796,1447.5
0.510204,834.103
0.530612,457.308
0.55102,354.125
0.571429,305.901
0.591837,254.077
0.612245,205.175
0.632653,169.911
0.653061,143.786
0.673469,123.845
0.693878,106.206
0.714286,91.8448
0.734694,79.5736
0.755102,69.1888
0.77551,60.6504
0.795918,53.2858
0.816327,47.1939
0.836735,41.5762
0.857143,36.8154
0.877551,32.7249
0.897959,29.2804
0.918367,26.2601
0.938776,23.5573
0.959184,21.1214
0.979592,19.0489
1,17.0562
