# 20251205_151204
# primespec:	data/PbPb276_cc_(0,5)/primaryspec/spec_20251205_150058_125/spectr.txt
# qmax:	4
# ma:	1
# mb:	0.14
# mc:	0.14
# [=>] pabc:	0.48
# [=>] Eabc:	0.5
# B:	1
# Q:	1
# epsrel:	1e-05
# epsabs:	0
# iter:	100000
pT,decayspec
0,1668.78
0.0204082,1670.01
0.0408163,1676.24
0.0612245,1686.68
0.0816327,1701.3
0.102041,1720.55
0.122449,1744.26
0.142857,1771.75
0.163265,1804.21
0.183673,1840.61
0.204082,1880.77
0.22449,1926.86
0.244898,1978.22
0.265306,2034.64
0.285714,2098.04
0.306122,2167.69
0.326531,2248.68
0.346939,2343.18
0.367347,2453.62
0.387755,2586.05
0.408163,2759.34
0.428571,3004.24
0.44898,3496.31
0.469388,3529.17
0.489796,2434.46
0.510204,1261.87
0.530612,723.071
0.55102,560.468
0.571429,440.695
0.591837,352.611
0.612245,287.433
0.632653,237.584
0.653061,198.674
0.673469,168.352
0.693878,143.495
0.714286,123.545
0.734694,106.531
0.755102,92.2773
0.77551,80.1747
0.795918,70.1841
0.816327,61.7326
0.836735,54.7231
0.857143,48.3286
0.877551,43.0448
0.897959,38.1093
0.918367,34.0087
0.938776,30.3662
0.959184,27.2589
0.979592,24.6547
1,22.184
