# 20260616_164111
# primespec:	data/XeXe544_cc_(0,5)plus15/primaryspec/spec_20260616_155259_034/spectr.txt
# qmax:	4
# ma:	0.48
# mb:	0.14
# mc:	0.14
# [=>] pabc:	0.194936
# [=>] Eabc:	0.24
# B:	1
# Q:	1
# epsrel:	1e-05
# epsabs:	0
# iter:	100000
pT,decayspec
0,3802.95
0.0204082,3799.62
0.0408163,3861.29
0.0612245,3977.04
0.0816327,4142.47
0.102041,4376.35
0.122449,4761.3
0.142857,5093.17
0.163265,6365.98
0.183673,7163.21
0.204082,4213.76
0.22449,1272.2
0.244898,549.493
0.265306,463.441
0.285714,296.93
0.306122,191.422
0.326531,142.506
0.346939,109.549
0.367347,83.6066
0.387755,65.7897
0.408163,52.3487
0.428571,41.416
0.44898,32.9271
0.469388,26.5141
0.489796,22.4407
0.510204,18.8618
0.530612,15.9805
0.55102,13.0231
0.571429,11.1533
0.591837,9.46044
0.612245,8.591
0.632653,7.37867
0.653061,6.4191
0.673469,5.31031
0.693878,4.84887
0.714286,4.37292
0.734694,4.03022
0.755102,3.41587
0.77551,3.06205
0.795918,2.73338
0.816327,2.57653
0.836735,2.32766
0.857143,2.11631
0.877551,1.88376
0.897959,1.76553
0.918367,1.64441
0.938776,1.54343
0.959184,1.37178
0.979592,1.25694
1,1.20548
