# 20250803_185559
# primespec:	data/examplescenario/primaryspec/spec_20250803_184809_179/spectr.txt
# qmax:	4
# ma:	1.30857
# mb:	0.14
# mc:	0.14
# [=>] pabc:	0.639131
# [=>] Eabc:	0.654285
# B:	1
# Q:	1
# epsrel:	1e-05
# epsabs:	0
# iter:	100000
pT,decayspec
0,678.114
0.0204082,678.883
0.0408163,680.995
0.0612245,685.166
0.0816327,690.145
0.102041,695.984
0.122449,702.84
0.142857,710.968
0.163265,719.832
0.183673,729.54
0.204082,740.513
0.22449,751.945
0.244898,764.842
0.265306,778.116
0.285714,791.654
0.306122,806.058
0.326531,820.456
0.346939,835.663
0.367347,850.726
0.387755,865.665
0.408163,881.659
0.428571,897.564
0.44898,914.268
0.469388,931.17
0.489796,948.586
0.510204,966.934
0.530612,986.348
0.55102,1008.39
0.571429,1037.98
0.591837,1062.85
0.612245,1045.66
0.632653,947.901
0.653061,781.338
0.673469,601.818
0.693878,465.38
0.714286,372.433
0.734694,311.807
0.755102,266.795
0.77551,230.173
0.795918,200.451
0.816327,174.947
0.836735,154.744
0.857143,136.379
0.877551,121.243
0.897959,108.232
0.918367,96.5842
0.938776,86.6907
0.959184,78.2113
0.979592,70.3148
1,63.3574
