PT [GEV],(1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP [GEV**-2]
0.11,827.7057946889076
0.13,771.4231095453544
0.15000000000000002,715.637097607531
0.16999999999999998,661.6951766097661
0.19,610.4605773725159
0.225,528.5004621615005
0.275,429.0838460565983
0.32499999999999996,348.7366830390699
0.375,284.33621522413205
0.42500000000000004,232.75347405530275
0.475,191.3182636742472
0.525,157.8828562235379
0.575,130.7674817100228
0.625,108.6657834937332
0.675,90.56606374785666
0.725,75.67858250918997
0.775,63.38522810095382
0.825,53.19806749392201
0.875,44.7297009989633
0.925,37.67013384926507
0.975,31.770388807761723
1.05,24.665331967730914
1.15,17.665058103674795
1.25,12.696696808595346
1.35,9.151750067732255
1.45,6.612748907101073
1.55,4.788137143711833
1.65,3.4733376911778207
1.75,2.523368112290246
1.85,1.835929518205645
1.95,1.3372184537691079
2.05,0.9750559889161159
2.1500000000000004,0.7116812042294858
2.25,0.5198607719201842
2.3499999999999996,0.3799793542492277
2.45,0.2778884555636236
