# 20251205_145045
# primespec:	data/AuAu200_cc_(0,5)/primaryspec/spec_20251205_144002_211/spectr.txt
# qmax:	4
# ma:	1.49143
# mb:	0.14
# mc:	0.14
# [=>] pabc:	0.732455
# [=>] Eabc:	0.745715
# B:	1
# Q:	1
# epsrel:	1e-05
# epsabs:	0
# iter:	100000
pT,decayspec
0,333.985
0.0204082,334.242
0.0408163,334.957
0.0612245,336.303
0.0816327,338.331
0.102041,341.469
0.122449,344.766
0.142857,348.343
0.163265,352.372
0.183673,356.754
0.204082,361.549
0.22449,366.53
0.244898,371.776
0.265306,377.66
0.285714,383.284
0.306122,389.855
0.326531,396.121
0.346939,402.644
0.367347,409.736
0.387755,416.168
0.408163,423.185
0.428571,430.631
0.44898,437.648
0.469388,445.406
0.489796,453.199
0.510204,460.599
0.530612,465.207
0.55102,465.378
0.571429,460.89
0.591837,450.211
0.612245,434.041
0.632653,415.171
0.653061,393.259
0.673469,370.087
0.693878,347.961
0.714286,327.196
0.734694,308.477
0.755102,290.141
0.77551,271.613
0.795918,252.824
0.816327,234.118
0.836735,214.042
0.857143,194.293
0.877551,174.891
0.897959,156.715
0.918367,139.55
0.938776,123.742
0.959184,109.008
0.979592,96.0282
1,85.1695
