PT [GEV],(1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP [GEV**-2]
0.11,1235.0814936764057
0.13,1152.9073399682695
0.15000000000000002,1071.8417980203394
0.16999999999999998,993.5787358154914
0.19,919.1627378016551
0.225,799.6921741104588
0.275,653.794971978896
0.32499999999999996,534.9542085556334
0.375,439.0681850065381
0.42500000000000004,361.83787585270295
0.475,299.48964884296555
0.525,248.932298833983
0.575,207.72243420468232
0.625,173.94771671577718
0.675,146.12428328752748
0.725,123.09223964221654
0.775,103.94346786737302
0.825,87.96096849431792
0.875,74.5744515595169
0.925,63.3275023920084
0.975,53.85232921144655
1.05,42.32440483527417
1.15,30.799059000336502
1.25,22.476902858397903
1.35,16.435965542241682
1.45,12.035533358070364
1.55,8.821242374733135
1.65,6.468849473017354
1.75,4.744344634435483
1.85,3.4794807997479182
1.95,2.5505895078419196
2.05,1.8685582047401177
2.1500000000000004,1.3677510752051363
2.25,0.9999934254332945
2.3499999999999996,0.7300094860116575
2.45,0.5319562624905652
