$p_{T}$ [$GeV/c$],(1/Nev)*(1/2*PI*PT)*D2(N)/DPT/DYRAP [$(GeV/c)^{-1}$],ERR
0.065,2639.52351773943,123.6037
0.09,2225.16294325035,141.7092
0.13,1683.36959039505,57.2134
0.18,1310.28727871044,69.0895
0.225,1039.60008827626,80.8694
0.275,801.735791509828,74.3202
0.325,617.129413182789,80.7095
0.375,500.722671626182,65.252
0.425,404.291003675318,58.5086
0.475,324.314215826331,43.9975
0.525,262.545025647116,39.6162
0.575,214.139516040078,36.2377
0.625,180.805108310572,26.0238
0.675,150.173888599495,24.2917
0.725,125.409704675225,26.1231
0.775,105.506378790829,30.2266
0.825,88.9049157865454,31.5686
0.875,75.3739621346863,32.2004
0.925,63.804786537046,29.2785
0.975,53.547884648067,19.72778
1.05,41.6046178855842,16.85558
1.15,30.2186798470568,13.48961
1.25,22.2078441392707,10.64781
1.35,16.36466492636,8.43589
1.45,12.0935804343897,6.70226
1.55,9.03917932275208,5.56626
1.65,6.72675601293491,4.98225
1.75,5.07176783508899,4.65439
1.85,3.80672814966123,4.32472
1.95,2.91147442562774,4.04995
2.1,1.95381639662336,3.11218
2.3,1.16667493066494,1.995979
2.5,0.715815272050109,1.247151
2.7,0.443293673531104,0.805199
2.9,0.276314933613474,0.55504
3.1,0.182822823338787,0.414126
3.3,0.117147683869762,0.293934
3.5,0.0787089402850748,0.246041
3.7,0.0561601874866969,0.207055
3.9,0.0383910289009489,0.179561
4.25,0.0213840581538271,0.1199484
4.75,0.0100810416269597,0.0736115
