$p_T$ (GeV/c),$\frac{1}{N_{Event}2\pi p_{T}}\frac{d^{2}N}{dp_{T}dy}$,stat_err +
0.25,276,2.3
0.35,164,1.4
0.45,99.3,0.87
0.55,60.2,0.56
0.65,37.4,0.38
0.75,24.3,0.27
0.85,15.3,0.18
0.95,10.1,0.13
1.05,6.56,0.093
1.15,4.47,0.068
1.25,2.99,0.049
1.35,2.15,0.039
1.45,1.45,0.028
1.55,0.936,0.02
1.65,0.668,0.016
1.75,0.484,0.013
1.85,0.342,0.01
1.95,0.25,0.0083
2.05,0.182,0.0056
2.15,0.127,0.0046
2.25,0.0806,0.0035
2.35,0.0628,0.0033
2.45,0.0457,0.0029
2.55,0.0359,0.0027
2.65,0.025,0.0024
2.75,0.0219,0.0024
2.85,0.0121,0.0018
2.95,0.0108,0.0018
