$p_T$ (GeV/c),$\frac{1}{N_{Event}2\pi p_{T}}\frac{d^{2}N}{dp_{T}dy}$,stat_err +
0.25,157,1.3
0.35,88.2,0.74
0.45,52.7,0.46
0.55,31.7,0.29
0.65,19.5,0.2
0.75,12.7,0.14
0.85,7.94,0.095
0.95,5.31,0.07
1.05,3.49,0.049
1.15,2.34,0.035
1.25,1.56,0.025
1.35,1.12,0.02
1.45,0.757,0.015
1.55,0.507,0.01
1.65,0.367,0.0083
1.75,0.267,0.0067
1.85,0.192,0.0053
1.95,0.138,0.0043
2.05,0.1,0.0029
2.15,0.0741,0.0024
2.25,0.0516,0.002
2.35,0.0412,0.0019
2.45,0.0328,0.0017
2.55,0.0241,0.0015
2.65,0.0185,0.0014
2.75,0.0155,0.0014
2.85,0.0103,0.0011
2.95,0.00932,0.0012
