PT [GEV],(1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP [GEV**-2]
0.11,753.9672971363477
0.13,701.7581302302558
0.15000000000000002,650.0064908569314
0.16999999999999998,600.041095929322
0.19,552.6889645259499
0.225,477.2200304530013
0.275,386.1977724855235
0.32499999999999996,313.0439995999876
0.375,254.64467267980834
0.42500000000000004,208.00281887175572
0.475,170.61823720431556
0.525,140.50727498511796
0.575,116.13070677943381
0.625,96.29639172948102
0.675,80.08305173133833
0.725,66.77246302058646
0.775,55.80300825769615
0.825,46.73166161761428
0.875,39.20670453133147
0.925,32.947248503465616
0.975,27.72777797925894
1.05,21.459463282415175
1.15,15.30786334595092
1.25,10.961634029829401
1.35,7.8742175636433185
1.45,5.672186172161766
1.55,4.095898512323899
1.65,2.9641140616900508
1.75,2.1490252718065728
1.85,1.560903715877343
1.95,1.1353312077496212
2.05,0.8269706133883878
2.1500000000000004,0.6031482635731771
2.25,0.4403923550485415
2.3499999999999996,0.32185672061896986
2.45,0.23542800553097565
