# 20260616_164533
# primespec:	data/XeXe544_cc_(0,5)plus15/primaryspec/spec_20260616_155740_188/spectr.txt
# qmax:	4
# ma:	1.36
# mb:	0.14
# mc:	0.14
# [=>] pabc:	0.665432
# [=>] Eabc:	0.68
# B:	1
# Q:	1
# epsrel:	1e-05
# epsabs:	0
# iter:	100000
pT,decayspec
0,901.001
0.0204082,901.607
0.0408163,903.468
0.0612245,906.778
0.0816327,911.565
0.102041,916.826
0.122449,923.336
0.142857,931.423
0.163265,939.77
0.183673,950.316
0.204082,961.601
0.22449,974.146
0.244898,988.206
0.265306,1003.2
0.285714,1019.64
0.306122,1037.75
0.326531,1057.46
0.346939,1079.09
0.367347,1102.41
0.387755,1128.41
0.408163,1156.46
0.428571,1186.97
0.44898,1222.57
0.469388,1262.29
0.489796,1307.53
0.510204,1358.11
0.530612,1429.84
0.55102,1493.96
0.571429,1625.36
0.591837,1787.29
0.612245,1821.83
0.632653,2133.04
0.653061,2350.08
0.673469,1649.78
0.693878,776.651
0.714286,510.634
0.734694,443.947
0.755102,295.555
0.77551,198.551
0.795918,178.87
0.816327,158.113
0.836735,129.988
0.857143,112.166
0.877551,99.4067
0.897959,88.4179
0.918367,77.7204
0.938776,68.8839
0.959184,61.2245
0.979592,54.6656
1,48.9889
