$p_T$ (GeV/c),$\frac{1}{N_{Event}2\pi p_{T}}\frac{d^{2}N}{dp_{T}dy}$,stat_err +
0.25,239,2
0.35,139,1.2
0.45,84.1,0.74
0.55,50.8,0.47
0.65,31.6,0.32
0.75,20.5,0.23
0.85,12.9,0.16
0.95,8.56,0.11
1.05,5.56,0.08
1.15,3.72,0.057
1.25,2.51,0.042
1.35,1.81,0.033
1.45,1.23,0.025
1.55,0.793,0.017
1.65,0.578,0.014
1.75,0.419,0.011
1.85,0.299,0.0091
1.95,0.207,0.0073
2.05,0.156,0.005
2.15,0.105,0.0041
2.25,0.0805,0.0035
2.35,0.0578,0.0031
2.45,0.0406,0.0027
2.55,0.0318,0.0025
2.65,0.0244,0.0023
2.75,0.0183,0.0021
2.85,0.013,0.0018
2.95,0.0104,0.0018
