# 20260615_140354
# primespec:	data/AuAu200_cc_(0,5)plus5/primaryspec/spec_20260608_160425_125/spectr.txt
# qmax:	4
# ma:	1
# mb:	0.14
# mc:	0.14
# [=>] pabc:	0.48
# [=>] Eabc:	0.5
# B:	1
# Q:	1
# epsrel:	1e-05
# epsabs:	0
# iter:	100000
pT,decayspec
0,431.428
0.0204082,432.106
0.0408163,433.957
0.0612245,437.561
0.0816327,442.227
0.102041,448.608
0.122449,455.591
0.142857,464.31
0.163265,473.657
0.183673,483.547
0.204082,493.632
0.22449,505.344
0.244898,515.447
0.265306,525.82
0.285714,537.136
0.306122,547.601
0.326531,557.632
0.346939,564.723
0.367347,563.376
0.387755,553.151
0.408163,536.881
0.428571,511.236
0.44898,475.248
0.469388,432.05
0.489796,385.878
0.510204,336.032
0.530612,289.091
0.55102,245.83
0.571429,208.61
0.591837,177.866
0.612245,149.649
0.632653,126.204
0.653061,107.146
0.673469,90.3851
0.693878,77.6807
0.714286,66.77
0.734694,57.6619
0.755102,50.3717
0.77551,43.9745
0.795918,38.8962
0.816327,34.6478
0.836735,30.6794
0.857143,27.4446
0.877551,24.6273
0.897959,21.9241
0.918367,19.7842
0.938776,17.66
0.959184,15.9013
0.979592,14.3372
1,12.8648
