PT [GEV],(1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP [GEV**-2]
0.11,394.2613802051244
0.13,366.26625019790106
0.15000000000000002,338.0161666967105
0.16999999999999998,310.4382095641063
0.19,284.152548634395
0.225,242.2103133620882
0.275,191.95134835227373
0.32499999999999996,152.10500045603823
0.375,120.79849192829658
0.42500000000000004,96.21540503346637
0.475,76.86342700611115
0.525,61.57536137928144
0.575,49.4542658983434
0.625,39.81028271679537
0.675,32.11302381160655
0.725,25.951780494771498
0.775,21.00745738134963
0.825,17.030633961545902
0.875,13.825491021709734
0.925,11.23749467312415
0.975,9.144456158337352
1.05,6.725912408221623
1.15,4.480299873022029
1.25,2.994764168204069
1.35,2.0076884419457564
1.45,1.3496129731127988
1.55,0.9094382148245461
1.65,0.6141850474946333
1.75,0.4155243498412054
1.85,0.281660862609623
1.95,0.19116402715424752
2.05,0.12993325266752792
2.1500000000000004,0.08843149539222542
2.25,0.06025060475967012
2.3499999999999996,0.04108499269781731
2.45,0.02803660657478569
