#: table_doi: 10.17182/hepdata.61925.v1/t5
#: name: Table 5
#: description: pT-differential invariant yield of pion+ and pion- for centrality 30-40%.

#: data_file: Table_5.yaml
#: keyword reactions: PB PB --> PI+ X | PB PB --> PI- X
#: keyword observables: DN/DPT
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: keyword cmenergies: 2760.0
#: CENTRALITY [pct],,,30.0-40.0
#: RE,,,PB PB --> PI+ X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: YRAP,,,-0.5-0.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,(1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP [GEV**-2],stat +,stat -,sys +,sys -,"sys,normalization uncertainty +","sys,normalization uncertainty -"
1.05,1.0,1.1,7.226,0.041,-0.041,0.351,-0.351,2.0%,-2.0%
1.15,1.1,1.2,5.128,0.033,-0.033,0.251,-0.251,2.0%,-2.0%
1.25,1.2,1.3,3.724,0.018,-0.018,0.227,-0.227,2.0%,-2.0%
1.35,1.3,1.4,2.721,0.015,-0.015,0.166,-0.166,2.0%,-2.0%
1.45,1.4,1.5,1.997,0.012,-0.012,0.123,-0.123,2.0%,-2.0%
1.55,1.5,1.6,1.493,0.01,-0.01,0.093,-0.093,2.0%,-2.0%
1.65,1.6,1.7,1.096,0.009,-0.009,0.069,-0.069,2.0%,-2.0%
1.75,1.7,1.8,0.817,0.0066,-0.0066,0.0526,-0.0526,2.0%,-2.0%
1.85,1.8,1.9,0.6038,0.0053,-0.0053,0.0397,-0.0397,2.0%,-2.0%
1.95,1.9,2.0,0.4713,0.0058,-0.0058,0.0318,-0.0318,2.0%,-2.0%
2.05,2.0,2.1,0.3548,0.0044,-0.0044,0.0246,-0.0246,2.0%,-2.0%
2.1500000000000004,2.1,2.2,0.2687,0.0041,-0.0041,0.0192,-0.0192,2.0%,-2.0%
2.25,2.2,2.3,0.2092,0.0029,-0.0029,0.0155,-0.0155,2.0%,-2.0%
2.3499999999999996,2.3,2.4,0.1611,0.0024,-0.0024,0.0123,-0.0123,2.0%,-2.0%
2.45,2.4,2.5,0.1314,0.0033,-0.0033,0.0105,-0.0105,2.0%,-2.0%
2.55,2.5,2.6,0.1006,0.0026,-0.0026,0.0083,-0.0083,2.0%,-2.0%
2.6500000000000004,2.6,2.7,0.079,0.0026,-0.0026,0.00684,-0.00684,2.0%,-2.0%
2.75,2.7,2.8,0.06158,0.00154,-0.00154,0.00557,-0.00557,2.0%,-2.0%
2.8499999999999996,2.8,2.9,0.05175,0.00123,-0.00123,0.0049,-0.0049,2.0%,-2.0%
2.95,2.9,3.0,0.0411,0.00138,-0.00138,0.00408,-0.00408,2.0%,-2.0%

#: CENTRALITY [pct],,,30.0-40.0
#: RE,,,PB PB --> PI- X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: YRAP,,,-0.5-0.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,(1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP [GEV**-2],stat +,stat -,sys +,sys -,"sys,normalization uncertainty +","sys,normalization uncertainty -"
0.11,0.1,0.12,435.2,2.6,-2.6,48.5,-48.5,2.0%,-2.0%
0.13,0.12,0.14,385.4,1.6,-1.6,39.7,-39.7,2.0%,-2.0%
0.15000000000000002,0.14,0.16,347.1,1.3,-1.3,35.6,-35.6,2.0%,-2.0%
0.16999999999999998,0.16,0.18,313.4,1.1,-1.1,32.1,-32.1,2.0%,-2.0%
0.19,0.18,0.2,279.9,0.9,-0.9,28.7,-28.7,2.0%,-2.0%
0.225,0.2,0.25,225.4,0.6,-0.6,15.1,-15.1,2.0%,-2.0%
0.275,0.25,0.3,172.3,0.4,-0.4,11.5,-11.5,2.0%,-2.0%
0.32499999999999996,0.3,0.35,133.0,0.3,-0.3,9.3,-9.3,2.0%,-2.0%
0.375,0.35,0.4,104.1,0.3,-0.3,6.8,-6.8,2.0%,-2.0%
0.42500000000000004,0.4,0.45,82.39,0.25,-0.25,5.26,-5.26,2.0%,-2.0%
0.475,0.45,0.5,65.01,0.21,-0.21,4.12,-4.12,2.0%,-2.0%
0.525,0.5,0.55,51.36,0.16,-0.16,2.41,-2.41,2.0%,-2.0%
0.575,0.55,0.6,41.39,0.14,-0.14,1.88,-1.88,2.0%,-2.0%
0.625,0.6,0.65,34.16,0.14,-0.14,1.71,-1.71,2.0%,-2.0%
0.675,0.65,0.7,27.94,0.12,-0.12,1.39,-1.39,2.0%,-2.0%
0.725,0.7,0.75,22.89,0.11,-0.11,1.13,-1.13,2.0%,-2.0%
0.775,0.75,0.8,18.93,0.1,-0.1,0.93,-0.93,2.0%,-2.0%
0.825,0.8,0.85,15.81,0.09,-0.09,0.77,-0.77,2.0%,-2.0%
0.875,0.85,0.9,13.17,0.08,-0.08,0.65,-0.65,2.0%,-2.0%
0.925,0.9,0.95,11.13,0.08,-0.08,0.54,-0.54,2.0%,-2.0%
0.975,0.95,1.0,9.373,0.068,-0.068,0.454,-0.454,2.0%,-2.0%
1.05,1.0,1.1,7.163,0.04,-0.04,0.345,-0.345,2.0%,-2.0%
1.15,1.1,1.2,5.167,0.033,-0.033,0.249,-0.249,2.0%,-2.0%
1.25,1.2,1.3,3.75,0.018,-0.018,0.226,-0.226,2.0%,-2.0%
1.35,1.3,1.4,2.741,0.015,-0.015,0.166,-0.166,2.0%,-2.0%
1.45,1.4,1.5,2.002,0.012,-0.012,0.122,-0.122,2.0%,-2.0%
1.55,1.5,1.6,1.48,0.01,-0.01,0.091,-0.091,2.0%,-2.0%
1.65,1.6,1.7,1.085,0.009,-0.009,0.068,-0.068,2.0%,-2.0%
1.75,1.7,1.8,0.8233,0.0066,-0.0066,0.0526,-0.0526,2.0%,-2.0%
1.85,1.8,1.9,0.6183,0.0056,-0.0056,0.0404,-0.0404,2.0%,-2.0%
1.95,1.9,2.0,0.4587,0.0055,-0.0055,0.0307,-0.0307,2.0%,-2.0%
2.05,2.0,2.1,0.3558,0.0045,-0.0045,0.0245,-0.0245,2.0%,-2.0%
2.1500000000000004,2.1,2.2,0.2836,0.0044,-0.0044,0.0201,-0.0201,2.0%,-2.0%
2.25,2.2,2.3,0.208,0.0028,-0.0028,0.0153,-0.0153,2.0%,-2.0%
2.3499999999999996,2.3,2.4,0.1646,0.0024,-0.0024,0.0125,-0.0125,2.0%,-2.0%
2.45,2.4,2.5,0.1294,0.0032,-0.0032,0.0102,-0.0102,2.0%,-2.0%
2.55,2.5,2.6,0.09956,0.00252,-0.00252,0.00819,-0.00819,2.0%,-2.0%
2.6500000000000004,2.6,2.7,0.08048,0.00264,-0.00264,0.00691,-0.00691,2.0%,-2.0%
2.75,2.7,2.8,0.06295,0.00157,-0.00157,0.00565,-0.00565,2.0%,-2.0%
2.8499999999999996,2.8,2.9,0.051,0.0012,-0.0012,0.00478,-0.00478,2.0%,-2.0%
2.95,2.9,3.0,0.04092,0.00136,-0.00136,0.00402,-0.00402,2.0%,-2.0%

